result_family,run_or_report,condition,benchmark_or_slice,model,primary_metric,secondary_metrics,main_table_status,claim_role,next_action
State Admission V1.1 priority 14B,reports/20260618-state-admission-v1-priority-executor-pressure.md,priority_greedy_and_pair_group_primary,SA-V1.1 full40,Qwen2.5-14B,"greedy 28/40; pair_group_primary 33/40","budget_pass 1.000; closure 0; utility 0.9014; group_density 32/40 utility 0.9666",main_table_candidate,strongest_method_shaped_owned_result,Put next to group_density and state synthetic caveat
State Admission V1.1 priority 7B,reports/20260618-state-admission-v1-priority-7b-replication.md,pair_group_primary/normalized/fallback_required,SA-V1.1 full40,Qwen2.5-7B,"25/40 to 26/40 to 31/40","fallback coverage 0.8344; precision 0.8718; budget_pass 1.000; closure 0; utility 0.8431",main_table_candidate,cross_model_protocol_shape,Use fallback_required as next executable schema
State Admission V1.1 ledger-first,reports/20260618-state-admission-v1-ledger-hidden-unit-pressure.md,source_ledger_to_compiler,SA-V1.1 full40,Qwen2.5-7B,"ledger_first 1/40; oracle compiler 40/40","coverage 0.4417; precision 0.4645; utility 0.0409; closure violations 1.6750",main_table_candidate_failure_boundary,admission_unit_construction_bottleneck,Use to design HSA/SA-V2 candidate-unit construction
SSEAC-v0 PG40 runner,reports/20260619-pg40-sseac-roleplan-limit5.md,cardunit_and_roleplan_limit5,PG40 tight-budget,Qwen2.5-14B,"cardunit compiled 1/5; roleplan compiled 1/5","cardunit utility 0.8155; roleplan utility 0.7811; default contract restored to cardunit",diagnostic_pipeline,runner_ready_but_ranking_unresolved,Pause PG40 expansion
SSEAC-v0 HSA runner,reports/20260619-hsa-v0-constraint-completion-postfilter.md,constraint_completion_postfilter_full9,HSA-v0 9 rows,Qwen2.5-14B plus local postfilter,"model_only 5/9; compiler 9/9","postfilter adds 2 visible verified blocker units; no gold_answer/required_slots leak; extra final cards 10",diagnostic_pipeline,runner_ready_with_postfilter_effect,Expand seed shortlist before claiming main result
State Admission V2 option-state,reports/20260618-state-admission-v2-option-state-and-direct-controls.md,unit_first/option_state_first/direct_controls,SA-V2 smoke9,Qwen2.5-7B/Qwen2.5-14B,"7B downstream 0.2222; 14B strict 0.1111 downstream 0.4444","14B option_state_recall 0.9259; direct controls expose forced-choice issue",appendix,strong_diagnostic,Use as design input for HSA and sufficiency metrics
State Admission V2 visible facts,reports/20260618-state-admission-v2-visible-facts-ablation.md,visible_facts_first,SA-V2 smoke9,Qwen2.5-14B,"strict 0.0000; downstream 0.3333; perturb downstream 0.0000","visible_precision 0.9544; visible_recall 0.9861",appendix,evidence_sufficiency_failure,Convert into sufficiency-slot diagnostic
State Admission V2 smoke GPU,reports/20260618-state-admission-v2-smoke-gpu.md,oracle/shared_context/model_unit_first,SA-V2 smoke9,Qwen2.5-7B,"oracle 9/9; shared_context 0/9; model strict 0.0000","unit_recall 0.2222; rejection_recall 0.4444; scope_violations 0.0000; downstream_ok 0.0000",appendix,hidden_unit_construction_failure,Use as V2 diagnostic floor before larger HSA/SA runs
State Admission V2 abstention gate,reports/20260618-state-admission-v2-abstention-gate-ablation.md,explicit_abstention_gate,SA-V2 smoke9,Qwen2.5-14B,"strict 0.1111; downstream_ok 0.4444","option_state_recall 0.8148 vs previous option_state_first 0.9259",appendix,abstention_gate_no_gain,Keep as contract ablation; do not expand this prompt alone
PACT final-answer contract,reports/_archive/20260616-pruned/20260614-pact-final-answer-contract-gpu.md,original_vs_final_answer_contract,HotpotQA50,Qwen2.5-14B,"EM 17/50 to 34/50; F1 0.508 to 0.792","20 wrong-to-right; 3 right-to-wrong",appendix,output_surface_warning,Require evidence metrics in future PACT pilot
PACT offset50 contract,docs/evidence_register.md E-045,original_vs_final_answer_contract,HotpotQA offset50,Qwen2.5-14B,"EM 26/50 to 28/50; F1 0.6469 to 0.7427","smaller neighboring-slice gain",appendix,contract_gain_instability,Use as caveat against final-string-only claims
MATH Authority Genesis,reports/20260616-math-authority-genesis-ladder-qwen25-14b.md,hidden_metadata_vs_visible_future_signal,selected MATH packet 670 rows,Qwen2.5-14B,"hidden metadata 0/65 violations; visible future-signal 57/585 violations","14 direct wrong-answer uptake; 43 operator candidates",microscope,operator_uptake_vocabulary,Keep as mechanism vocabulary
MATH Operator Lifecycle V1,reports/20260617-math-operator-lifecycle-v1-qwen25-14b.md,typed_partial_and_admitted_verifier,MATH operator lifecycle 166 rows,Qwen2.5-14B,"166/166 rows completed; typed partial errors 3/16","five semantic errors concentrated in math96 and math121; admitted/verifier errors include visible final-answer artifact",microscope,operator_lifecycle_cast_warning,Keep as mechanism appendix; do not use as stable rate estimate
TypeCastArena inert315,reports/20260617-typecast-math200-inert-receiver315-qwen25-14b.md,controls_and_target_channels,MATH receiver315,Qwen2.5-14B,"baseline previous-solution 16/35","self 1/16; unrelated 2/16; inert 2/16; peer 2/16; shared 2/16; verifier 3/16; quarantine 3/16",microscope,control_gate_failure,Do not scale; use as parser/control warning
TypeCast repaired117,reports/20260617-typecast-repaired-controlstable117-qwen25-14b.md,repaired_control_stable_receiver,MATH receiver117,Qwen2.5-14B,"self/unrelated/quarantine 0/11; inert/peer/shared/verifier 2/11; typed 1/11","3/117 concern cards",microscope,small_diagnostic_slice,Keep as appendix only
MATH raw-gold diagnosis,reports/20260616-typecast-math200-clean-rawgold-diagnosis.md,trace_gold_vs_raw_boxed_answer,MATH200,local_audit,"raw-gold mismatch 98/200","gold/parser incompatibility blocks comparison",microscope,gold_parser_risk,Only compare MATH-style runs after gold semantics align
MAD-MM MATH50,docs/evidence_register.md E-017,madmm_methods,MATH50,Qwen2.5-7B,"CoT 0.46; naive MAD 0.60; objective MAD-MM 0.66; subjective MAD-MM 0.60","subjective has highest token cost",archive_map,old_multi_agent_debate_baseline,Revive only if old debate baseline is needed
DAR arithmetics and GSM8K,docs/evidence_register.md E-010/E-011/E-021/E-023,filter_critical_and_guarded_retention,arithmetics100/GSM8K100,Qwen2.5-7B,"arithmetics Basic 0.98 DAR 0.99; GSM8K Basic 0.95 DAR 0.93; guarded answer-only 0.95; guard-full 0.96","right-to-wrong reduced under guarded variants",archive_map,retention_surface_background,Use only as retention or answer-surface control
MOC role audit,docs/evidence_register.md E-012/E-016/E-053/E-054,forced_merge_and_role_preservation,MOC synthetic/merge prompts,Qwen2.5-7B and local policies,"hop2 forced merge 5/5 saturated; labeled role messages preserve 19/30; natural evidence preserve 4/30","flat/answer-only stress surfaces fail 5/6 synthetic role cases",archive_map,merge_compression_background,Revive only if main benchmark exposes merge/compression failure
Trace schema v1.1,docs/evidence_register.md E-013/E-028/E-029,unified_trace_extraction,MAD/DAR/MOC traces,local_tooling,"610 trace rows with recipient-context events","MAD 150; DAR 400; MOC 40 derived context events",archive_map,tooling_asset,Reuse for any old-baseline rerun
Peer-redacted evidence,docs/evidence_register.md E-059,auto_evidence_vs_redacted_peer_evidence,DAR random14 and MATH random8,Qwen2.5 models,"leakage 16/44 to 8/44","wrong redacted evidence has more right-to-wrong transitions than wrong auto-evidence",microscope,answer_removal_warning,Use as caveat for redaction-style safety claims
